Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
ccok.us,,,,County,,Oklahoma,"Cleveland County, OK -- Note added 8/2/13 14:59",http://www.clevelandcountyok.com/,8/2/13 14:58
cedarparktx.us,,,,Local,,Texas,"City of Cedar Park, TX -- Note added 3/4/15 6:45",http://cedarparktx.us/,6/6/13 18:08
centralfallsri.us,,,,Local,,Rhode Island,"City of Central Falls, RI -- Note added 6/7/13 18:31",http://www.centralfallsri.us/,6/6/13 18:08
centralwashingtoncfc.us,Combined Federal Campaign,,,County,,Washington,Central Washington Combined Federal CampaignServing: Chelan CountyDouglas CountyKittitas CountyYakima County -- Note added 9/12/14 5:29,http://centralwashingtoncfc.us/,6/6/13 18:08
cerritos.us,,,,Local,,California,City of Cerritos municipal website -- Note added 3/9/15 17:01,http://www.cerritos.us/,6/6/13 18:08
charlemont-ma.us,,,,Local,,Massachusetts,"Charlemont, MA -- Note added 8/26/15 15:48",http://charlemont-ma.us/,6/6/13 18:08
chathamnewyork.us,,,,Local,,New York,"Town of Chatham, NY -- Note added 6/17/15 17:06",http://chathamnewyork.us/,6/6/13 18:08
chesapeake-beach.md.us,,,,Local,,Maryland,"Chesapeake, MD -- Note added 5/27/14 1:28",http://www.chesapeake-beach.md.us/,6/6/13 18:08
chesterfield.mo.us,,,,Local,,Missouri,"City of Chesterfield, MO. -- Note added 9/24/15 15:23",http://chesterfield.mo.us/,6/6/13 18:08
chico.ca.us,,,,Local,,California,City of Chico website -- Note added 3/10/15 15:59,http://www.chico.ca.us/,6/6/13 18:08
ci.adelanto.ca.us,,,,Local,,California,City of Adelanto website -- Note added 3/10/15 17:45,http://www.ci.adelanto.ca.us/,6/6/13 18:08
ci.afton.mn.us,,,,Local,,Minnesota,"City of Afton, MN  -- Note added 4/19/15 22:18",http://www.ci.afton.mn.us/,6/6/13 18:08
ci.agoura-hills.ca.us,,,,Local,,California,City of Agoura Hills website -- Note added 3/10/15 17:50,http://ci.agoura-hills.ca.us/,6/6/13 18:08
ci.alamogordo.nm.us,,,,Local,,New Mexico,"City of Alamogordo, NM -- Note added 7/15/14 15:28",http://ci.alamogordo.nm.us/,6/6/13 18:08
ci.albemarle.nc.us,,,,Local,,North Carolina,"albemarle, nc -- Note added 9/11/15 19:09",http://ci.albemarle.nc.us/,6/6/13 18:08
ci.alice.tx.us,,,,Local,,Texas,"City of Alice, TX -- Note added 3/10/15 6:56",http://ci.alice.tx.us/,6/6/13 18:08
ci.altoona.wi.us,,,,Local,,Wisconsin,"City of Altoona, WI -- Note added 7/25/14 5:29",http://www.ci.altoona.wi.us/,6/6/13 18:08
ci.amity.or.us,,,,Local,,Oregon,"City of Amity, OR -- Note added 6/20/14 9:32",http://ci.amity.or.us/,6/6/13 18:08
ci.ammon.id.us,,,,Local,,Idaho,"City of Ammon, ID   -- Note added 7/14/14 14:00",http://ci.ammon.id.us/,6/6/13 18:08
ci.anderson.ca.us,,,,Local,,California,City of Anderson website -- Note added 3/10/15 17:58,http://ci.anderson.ca.us/,6/6/13 18:08
ci.annapolis.md.us,,,,Local,,Maryland,City of Annapolis Maryland -- Note added 5/27/14 1:39,http://www.ci.annapolis.md.us/,6/6/13 18:08
ci.anoka.mn.us,,,,Local,,Minnesota,"City of Anoka, MN -- Note added 4/19/15 22:20",http://www.ci.anoka.mn.us/,6/6/13 18:08
ci.antioch.ca.us,,,,Local,,California,"City of Antioch, CA -- Note added 1/13/14 19:09",http://ci.antioch.ca.us/,6/6/13 18:08
