Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
govinfo.library.unt.edu,,,,Quasigovernmental,,,"CyberCemetery of Federal Government Web Sites, a partnership with the University of North Texas -- Note added 6/6/13 18:08",#N/A,6/6/13 18:08
gwpapers.virginia.edu,,,,Quasigovernmental,,,The Papers of George Washington -- Note added 6/14/13 19:53,#N/A,6/6/13 18:08
ianrpubs.unl.edu,,,,State,,Nebraska,University of Nebraska - Lincoln Extension publications -- Note added 11/20/13 19:14,http://ianrpubs.unl.edu/,6/6/13 18:08
ifas.ufl.edu,,,,County,,Florida,"University of Florida's Institute of Food and Agricultural Sciences (UF/IFAS) is a federal-state-county partnership dedicated to developing knowledge in agriculture, human and natural resources, and the life sciences, and enhancing and sustaining the quality of human life by making that information accessible. -- Note added 7/9/15 14:42",http://ifas.ufl.edu/,6/6/13 18:08
mbmg.mtech.edu,,,,State,,Montana,"Montana Bureau of Mines and Geology, a nonregulatory state agency -- Note added 11/22/13 13:34",http://www.mbmg.mtech.edu/,6/6/13 18:08
msue.anr.msu.edu,,,,State,,Michigan,Michigan State University Extension -- Note added 11/19/13 13:43,http://msue.anr.msu.edu/,6/6/13 18:08
nas.edu,,,,Quasigovernmental,,,"The National Academies of Sciences, Engineering, and Medicine The National Academies of Sciences, Engineering, and Medicine are private, nonprofit institutions that provide expert advice on some of the most pressing challenges facing the nation and the world. Our work helps shape sound policies, inform public opinion, and advance the pursuit of science, engineering, and medicine. To meet the government's urgent need for an independent adviser on scientific matters, President Lincoln signed a congressional charter forming the http://www.nasonline.org/ National Academy of Sciences in 1863 to 'investigate, examine, experiment, and report upon any subject of science.' As science began to play an ever-increasing role in national priorities and public life, the National Academy of Sciences eventually expanded to include the National Research Council in 1916, the http://www.nae.edu/ National Academy of Engineering in 1964, and the http://nam.edu/ National Academy of Medicine, which was established in 1970 as the Institute of Medicine. From http://nas.edu/about/whoweare/index.html ; retrieved December 23, 2016 -- Note added 12/23/16 21:09",http://nas.edu/,12/23/16 20:36
ncsu.edu/extension,,,,State,,North Carolina,NC State Univ Extension  -- Note added 9/15/15 17:22,http://oe.ncsu.edu/,6/6/13 18:08
ndu.edu,National Defense University (NDU),,Website - open to public,Federal,,,Requires www. -DPM 11/17/22. National Defense University -- Note added 3/24/14 16:14,http://www.ndu.edu/,6/6/13 18:08
nfs.unl.edu,,,,State,,Nebraska,Nebraska Forest Service -- Note added 12/6/13 19:55,http://nfs.unl.edu/,12/6/13 19:54
