Domain name,Agency,Maintaining office,Use case,Type of government,Federal branch,State,Comments,Link,Date Added
azstateparks.com,,,,State,,Arizona,Arizona State Parks -- Note added 12/11/13 13:51,http://azstateparks.com/,6/6/13 18:08
babbitt-mn.com,,,,Local,,Minnesota,"City of Babbitt, MN -- Note added 3/11/15 15:26",http://www.babbitt-mn.com/,6/6/13 18:08
backusmn.com,,,,Local,,Minnesota,"City of Backus, MN -- Note added 3/11/15 15:28",http://backusmn.com/,6/6/13 18:08
bainbridgecity.com,,,,Local,,Georgia,"City of Bainbridge, GA -- Note added 8/25/15 14:05",http://bainbridgecity.com/,6/6/13 18:08
bainbridgetwp.com,,,,Local,,Ohio,"Bainbridge Township, Chagrin Falls, OH -- Note added 12/5/13 14:35",http://bainbridgetwp.com/,6/6/13 18:08
bakercity.com,,,,Local,,Oregon,"City of Baker City, OR -- Note added 6/20/14 9:31",http://bakercity.com/,6/6/13 18:08
baldwincountyga.com,,,,County,,Georgia,"Baldwin County, Ga -- Note added 8/25/15 14:07",http://www.baldwincountyga.com/,6/6/13 18:08
baldwinpark.com,,,,Local,,California,City of Baldwin Park website -- Note added 3/10/15 17:14,http://baldwinpark.com,6/6/13 18:08
baldwintownship.com,,,,Local,,Pennsylvania,"Township of Baldwin, PA -- Note added 7/1/14 12:46",http://baldwintownship.com/,6/6/13 18:08
baldwintownship.govoffice.com,,,,Local,,Minnesota,"Baldwin Township, MN -- Note added 7/19/13 12:59",http://www.baldwintownship.govoffice.com/,6/6/13 18:09
balharbourgov.com,,,,Local,,Florida,"Bal Harbour, FL -- Note added 6/16/15 14:03",http://www.balharbourgov.com/,6/6/13 18:08
balkantownship.com,,,,Local,,Minnesota,"Town of Balkan, Balkan Township  -- Note added 3/24/15 1:22",http://www.balkantownship.com/,6/6/13 18:08
ballardsvillefire.com,,,,Local,,Kentucky,"City of Crestwood, KY",https://ballardsvillefire.com/,3/23/22 17:38
baltic.govoffice.com,,,,Local,,South Dakota,"City of Baltic, SD -- Note added 7/19/13 13:00",http://www.baltic.govoffice.com/,6/6/13 18:09
bambergsc.com,,,,Local,,South Carolina,"bamberg, sc -- Note added 8/28/15 13:18",http://bambergsc.com/,6/6/13 18:08
barnes-wi.com,,,,Local,,Wisconsin,"Town of Barnes, WI -- Note added 7/25/14 5:13",http://www.barnes-wi.com/,6/6/13 18:08
barnesvillemn.com,,,,Local,,Minnesota,"City of Barnesville, MN -- Note added 3/24/15 1:25",http://www.barnesvillemn.com/,6/6/13 18:08
barrierislandscouncil.com,,,,Local,,Florida,Barrier Island Governmental Council -- Note added 6/15/15 19:43,http://barrierislandscouncil.com/,6/6/13 18:08
barringtonboro.com,,,,County,,New Jersey,"Barrington, NJ (now Camden County- established 1700s in Gloucester County)  Incorporated as a borough in 1917. -- Note added 6/30/14 12:06",http://barringtonboro.com/,6/6/13 18:08
bartholomewco.com,,,,County,,Indiana,"Bartholomew, In -- Note added 8/27/15 14:13",http://www.bartholomew.in.gov/courts.html,6/6/13 18:08
batavianewyork.com,,,,Local,,New York,"City of Batavia, NY -- Note added 6/8/15 12:10",http://www.batavianewyork.com/,6/6/13 18:08
battleshipnc.com,,,,State,,North Carolina,"USS North Carolina Battleship, North Carolina Department of Cultural Resources -- Note added 3/20/14 17:19",http://battleshipnc.com/,7/24/13 16:11
baxter-iowa.com,,,,Local,,Iowa,"Baxter, Ia -- Note added 8/25/15 19:57",http://baxter-iowa.com/,6/6/13 18:08
bbna.com,,,,Native Sovereign Nation / Tribal,,Alaska,"Bristol Bay Native Association is a regional tribal council based in Dillingham, AK -- Note added 6/12/13 15:04",http://bbna.com/,6/12/13 15:04
beachwoodohio.com,,,,Local,,Ohio,"City of Beachwood, OH -- Note added 3/10/14 16:27",http://beachwoodohio.com/,6/6/13 18:08
beachwoodusa.com,,,,County,,New Jersey,"Borough of Beachwood, NJ ( Ocean County) -- Note added 6/30/14 12:16",http://beachwoodusa.com/,6/6/13 18:08
bellairemichigan.com,,,,Local,,Michigan,"bellaire, michigan -- Note added 9/2/15 20:01",http://www.bellairemichigan.com/,6/6/13 18:08
bellcountytx.com,,,,County,,Texas,"Bell County, TX -- Note added 3/3/15 6:41",http://bellcountytx.com/,6/6/13 18:08
belleplainemn.com,,,,Local,,Minnesota,"City of Belle Plaine, MN -- Note added 3/24/15 1:27",http://www.belleplainemn.com/,6/6/13 18:08
bellevueboro.com,,,,Local,,Pennsylvania,"Borough of Bellevue, PA -- Note added 7/1/14 12:55",http://www.bellevuepa.org/,6/6/13 18:08
bellmawr.com,,,,Local,,New Jersey,"Town of Bellmawr, NJ -- Note added 7/19/13 17:06",http://www.bellmawr.com/,6/6/13 18:08
belmar.com,,,,County,,New Jersey,"Belmar, NJ (Monmouth County) -- Note added 6/30/14 12:24",http://belmar.com/,6/6/13 18:08
bemidjitownship.com,,,,Local,,Minnesota,"Bemidiji Township, MN -- Note added 3/24/15 1:36",http://www.bemidjitownship.com/,6/6/13 18:08
benavon.com,,,,Local,,Pennsylvania,"Borough of Ben Avon, PA -- Note added 7/1/14 12:56",http://benavon.com/,6/6/13 18:08
benavonheightsborough.com,,,,Local,,Pennsylvania,"Borough of Ben Avon Heights, PA -- Note added 7/1/14 12:58",http://benavonheightsborough.com/,6/6/13 18:08
benefeds.com,Office of Personnel Management (OPM),,Website - open to public,Federal,,,"BENEFEDS, Federal Employees Dental and Vision Insurance Program, U.S. http://www.opm.gov/ Office of Personnel Management -- Note added 12/2/13 19:39",https://www.benefeds.com/,12/2/13 19:36
benhillcounty.com,,,,County,,Georgia,"Ben Hill County, Ga -- Note added 8/25/15 14:09",http://benhillcounty.com/,6/6/13 18:08
bennettsvillesc.com,,,,Local,,South Carolina,"bennettsville, sc -- Note added 8/28/15 13:19",http://bennettsvillesc.com/,6/6/13 18:08
benson-vt.com,,,,Local,,Vermont,"Town of Benson, VT -- Note added 8/13/14 5:24",http://benson-vt.com/,6/6/13 18:08
bentonvillear.com,,,,Local,,Arkansas,"City of Bentonville, AR -- Note added 12/10/14 6:42",http://bentonvillear.com/,6/6/13 18:08
bentonvillebattlefield.com,,,,Local,,North Carolina,"Battle of Bentonville, NC -- Note added 9/11/15 17:55",http://www.nchistoricsites.org/bentonvi/,6/6/13 18:08
beresfordsd.com,,,,Local,,South Dakota,"City of Beresford, SD n  -- Note added 7/17/14 5:10",http://www.beresfordsd.com/,6/6/13 18:08
bergenfieldboro.com,,,,County,,New Jersey,"Borough of Bergenfield, NJ (Bergen County) -- Note added 6/30/14 12:26",http://bergenfieldboro.com/,6/6/13 18:08
berkeley-lake.com,,,,Local,,Georgia,"City of Berkeley Lake, GA -- Note added 6/6/13 18:09",http://berkeley-lake.com/,6/6/13 18:09
berkeleyheightstwp.com,,,,Local,,New Jersey,Berkley Heights Township (Union County) -- Note added 7/3/14 17:05,http://berkeleyheightstwp.com/,6/6/13 18:08
berlintwp.com,,,,Local,,New Jersey,"Township of Berlin, NJ (Incorporated April 11, 1910) -- Note added 7/7/14 18:57",http://berlintwp.com/,6/6/13 18:08
berwicktownship.com,,,,Local,,Pennsylvania,"Berwick Township, Adams County, PA -- Note added 9/23/15 13:06",#N/A,9/23/15 13:06
berwyn-heights.com,,,,Local,,Maryland,"Berwyn Heights, MD -- Note added 5/2/14 20:08",http://www.berwyn-heights.com,6/6/13 18:08
bessemercity.com,,,,Local,,North Carolina,"bessemer city, nc -- Note added 9/11/15 18:19",http://bessemercity.com/,6/6/13 18:08
bethalto.com,,,,Local,,Illinois,"Village of Bethalto, IL -- Note added 7/1/14 19:17",http://bethalto.com/,6/6/13 18:08
bethanymo.com,,,,Local,,Missouri,"City of Bethany, MO -- Note added 11/19/13 13:16",http://www.bethanymo.com/,11/19/13 13:16
bethelvt.com,,,,Local,,Vermont,"Bethel Historical Society, VT -- Note added 8/13/14 5:26",http://bethelvt.com/,6/6/13 18:08
bethlehemtwp.com,,,,Local,,Pennsylvania,"Bethlehem Township, PA -- Note added 7/1/14 13:03",http://bethlehemtwp.com/,6/6/13 18:08
bigfalls.govoffice.com,,,,Local,,Minnesota,"City of Big Falls, MN -- Note added 1/13/14 19:35",http://www.bigfalls.govoffice.com/,6/6/13 18:09
biglaketownship.com,,,,Local,,Minnesota,"Town of Big Lake, MN; Big Lake Township, MN -- Note added 3/24/15 1:43",http://www.biglaketownship.com/,6/6/13 18:08
bigsandyrancheria.com,,,,Native Sovereign Nation / Tribal,,,Western Mono Indian tribe -- Note added 3/5/15 16:10,http://www.bigsandyrancheria.com/,6/6/13 18:08
biltmoreforesttownhall.homestead.com,,,,Local,,North Carolina,"Town of Biltmore Forest, NC -- Note added 1/15/14 12:11",http://biltmoreforesttownhall.homestead.com/,6/6/13 18:08
birdislandcity.com,,,,Local,,Minnesota,"City of Bird Island, MN -- Note added 3/24/15 1:48",http://birdislandcity.com/wordpress/,6/6/13 18:08
bismarckairport.com,,,,Local,,North Dakota,"Bismark Airport - operated by the City of Bismark, ND -- Note added 7/18/14 5:21",http://bismarckairport.com/,6/6/13 18:09
bixby.com,,,,Local,,Oklahoma,"City of Bixby, OK -- Note added 11/22/13 14:13",http://www.bixby.com/,6/6/13 18:08
blackduckmn.com,,,,Local,,Minnesota,"City of Blackduck, MN -- Note added 3/24/15 1:50",http://www.blackduckmn.com/,6/6/13 18:08
blackearthwisconsin.com,,,,Local,,Wisconsin,"Village of Black Earth, WI -- Note added 7/25/14 5:16",http://www.blackearthwisconsin.com/,6/6/13 18:08
blackfeetnation.com,,,,Native Sovereign Nation / Tribal,,Montana,"Montana Governor's Office of Indian AffairsBlackfeet Nation, MT -- Note added 3/2/15 6:28",http://tribalnations.mt.gov/blackfeet,6/6/13 18:08
blackfordcounty.com,,,,County,,Indiana,"Blackford County, IN -- Note added 7/25/13 14:56",http://blackfordcounty.com/,7/25/13 14:56
blackriverfalls.com,,,,Local,,Wisconsin,"City of Black River Falls, WI -- Note added 7/25/14 5:18",http://blackriverfalls.com/,6/6/13 18:08
bladennc.govoffice3.com,,,,County,,North Carolina,"Bladen County, NC -- Note added 7/25/13 15:01",http://www.bladennc.govoffice3.com/,6/6/13 18:08
blmgrove.com,,,,Local,,Wisconsin,"Town of Blooming Grove, WI -- Note added 7/25/14 5:19",http://blmgrove.com/,6/6/13 18:08
bloomfieldnm.com,,,,Local,,New Mexico,"City of Bloomfield, NM -- Note added 6/6/13 18:09",http://bloomfieldnm.com/,6/6/13 18:09
bloomfieldtwpnj.com,,,,Local,,New Jersey,"Township of Bloomfield, NJ (Essex County) -- Note added 7/3/14 17:36",http://bloomfieldtwpnj.com/,6/6/13 18:08
bloomingdale-ga.com,,,,Local,,Georgia,"City of Bloomingdale, Ga -- Note added 8/25/15 14:10",http://www.bloomingdale-ga.com/,6/6/13 18:08
bloomingprairie.com,,,,Local,,Minnesota,"City of Blooming Prairie, MN -- Note added 3/24/15 1:53",http://www.bloomingprairie.com/,6/6/13 18:08
bloomsburynewjersey.com,,,,Local,,New Jersey,"Bloomsbury, NJ -- Note added 9/15/15 18:55",http://bloomsburynewjersey.com/,6/6/13 18:08
blueash.com,,,,Local,,Ohio,"City of Blue Ash, OH -- Note added 3/10/14 16:39",http://blueash.com/,6/6/13 18:08
bluemoundsvillage.com,,,,Local,,Wisconsin,"Village of Blue Mounds, WI -- Note added 3/20/14 17:25",http://www.bluemoundsvillage.com/,6/6/13 18:09
bluespringsgov.com,,,,Local,,Missouri,"City of Blue Springs, MO. n  -- Note added 9/4/15 13:00",http://bluespringsgov.com/,6/6/13 18:08
